lexicon,proportion
0,1.35533652066e-231
1,8.03444803723e-171
2,5.63910386376e-236
3,2.67697569423e-239
4,1.55944829501e-309
5,1.62114726435e-211
6,1.37527797031e-309
7,6.50716663657e-310
8,4.18513291608e-236
9,8.91368340654e-172
10,1.18968652499e-241
11,4.69366071189e-245
12,2.56375580438e-226
13,1.35157369152e-171
14,1.64481844969e-228
15,6.05664488348e-231
16,3.71022720167e-314
17,7.16153314841e-217
18,3.61061624112e-313
19,1.65204957028e-313
20,4.10679182978e-293
21,3.66102275799e-281
22,2.73914161458e-293
23,1.17216890364e-293
24,2.90997003925e-313
25,5.27032103561e-217
26,1.93642407644e-313
27,1.81871421852e-313
28,2.36459503135e-291
29,6.81923087382e-215
30,6.40709994315e-291
31,5.75714742459e-292
32,1.02393237947e-216
33,1.07142577373e-171
34,8.83265030293e-220
35,3.55949572601e-222
36,7.32541828427e-281
37,6.65745930473e-209
38,9.52873380493e-281
39,1.24957806698e-281
40,2.60902007129e-222
41,4.77939451258e-172
42,1.84403857498e-225
43,3.99534507741e-228
44,1.91483751434e-182
45,0.6
46,2.08069790045e-182
47,4.84663581701e-183
48,2.74219932544e-175
49,1.86716898764e-178
50,3.27866955028e-176
51,1.17713316553e-175
52,2.74923089662e-182
53,1.29536037225e-184
54,4.12621478288e-182
55,2.96986205931e-182
56,3.33639086144e-179
57,0.2
58,1.36041301427e-178
59,2.37080465721e-178
60,8.44130689262e-180
61,4.58625713907e-182
62,7.10912639492e-180
63,8.63199269156e-180
64,4.62630722632e-192
65,4.75431237983e-219
66,1.84202867282e-266
67,1.08998530479e-265
68,7.00479672799e-233
69,0.0
70,0.0
71,0.0
72,5.48216333404e-192
73,4.43302455254e-215
74,1.19217877162e-213
75,2.58503413908e-214
76,2.02529789401e-190
77,4.20178980046e-203
78,4.0276787009e-216
79,1.97190048003e-216
80,4.62301127114e-233
81,0.0
82,0.0
83,0.0
84,1.98926986807e-193
85,1.41695168989e-231
86,5.44077315226e-280
87,9.31159818974e-281
88,4.88956872763e-193
89,7.20151357021e-229
90,2.28836854744e-227
91,6.98384778662e-228
92,5.52595442197e-192
93,2.1953941526e-215
94,1.32238666992e-230
95,3.83311083215e-231
96,2.66159296859e-190
97,2.98203631064e-202
98,1.61552102512e-215
99,4.52558489192e-216
100,1.68923094972e-191
101,4.6770169182e-211
102,2.70509997936e-225
103,1.0009399819e-226
104,2.07782092141e-190
105,7.36896080643e-204
106,6.32214031548e-216
107,1.27643667345e-215
108,0.1
109,3.23383064754e-179
110,2.36277050224e-179
111,3.93500353756e-179
112,1.28513001044e-202
113,2.94923435528e-186
114,1.9740371756e-186
115,8.15507944454e-187
116,3.18556212396e-205
117,5.14963598482e-189
118,1.07443086974e-189
119,2.04164360484e-189
120,0.1
121,1.26112827019e-176
122,2.39724322581e-177
123,1.28958708101e-176
124,1.55051954064e-202
125,2.22156002439e-189
126,4.37335198894e-190
127,5.37899074531e-190
128,9.81876819216e-294
129,4.34458888778e-271
130,0.0
131,0.0
132,0.0
133,3.29417202823e-312
134,0.0
135,0.0
136,2.51862126715e-247
137,3.34929087789e-272
138,2.50829282238e-258
139,0.0
140,8.35793072542e-288
141,1.6665068246e-277
142,3.03413983107e-288
143,3.79611081505e-313
144,4.94065645841e-324
145,1.58158198351e-299
146,0.0
147,0.0
148,1.205028463e-313
149,1.07044669544e-298
150,7.67318350227e-314
151,3.95252516673e-323
152,3.95252516673e-323
153,1.79359359345e-299
154,1.48219693752e-323
155,0.0
156,1.84388562489e-293
157,6.5507328376e-293
158,1.51514307055e-293
159,3.69677581071e-294
160,1.38807227663e-250
161,1.22675950871e-265
162,1.07538321083e-255
163,0.0
164,2.39313549446e-306
165,7.5414162699e-291
166,1.22813919587e-306
167,3.41399361276e-321
168,1.07405810478e-254
169,4.76339632774e-266
170,1.09028894585e-259
171,0.0
172,9.23564432284e-207
173,1.00655474954e-223
174,1.03582716527e-207
175,8.37154260223e-224
176,3.36597492518e-180
177,1.79884588512e-182
178,2.17591878635e-179
179,3.9521568745e-182
180,1.22932659704e-250
181,3.19792741088e-251
182,2.63051731878e-251
183,2.31183489762e-251
184,2.13176451524e-182
185,2.85669086727e-185
186,1.03603261962e-181
187,7.21399350723e-185
188,1.33002348533e-185
189,5.72159566911e-189
190,1.67548492351e-185
191,4.5168734858e-189
192,0.0
193,3.31872298535e-284
194,0.0
195,0.0
196,1.43279037294e-322
197,4.73735058312e-298
198,0.0
199,0.0
200,0.0
201,7.92072358715e-303
202,0.0
203,0.0
204,7.90790024712e-280
205,1.38549722255e-274
206,1.74654370112e-299
207,0.0
208,0.0
209,1.42885069348e-317
210,0.0
211,0.0
212,4.64249061977e-314
213,8.67627034469e-300
214,2.96439387505e-323
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,3.74139517932e-300
221,2.6970220434e-291
222,5.0552182102e-310
223,0.0
224,3.6030195348e-293
225,1.11264378156e-281
226,8.13881771919e-312
227,0.0
228,2.23683809825e-287
229,1.75773748182e-287
230,2.94386613032e-288
231,8.35450733648e-302
232,2.70141169002e-313
233,5.53179556952e-295
234,4.94065645841e-324
235,0.0
236,1.1397506092e-227
237,4.60474844297e-238
238,1.10646629709e-238
239,1.40185376083e-316
240,2.55527943228e-181
241,1.57259590146e-184
242,2.94505296102e-184
