stype,l1,l2,l3,proportion
literal,0,0,0,0.00319460402588
literal,0,0,1,0.00223622281812
literal,0,0,2,0.00319460402588
literal,0,0,3,0.0027655760052
literal,0,0,4,0.00322383691558
literal,0,0,5,0.0027401094308
literal,0,1,0,0.00223622281812
literal,0,1,1,0.00127784161035
literal,0,1,2,0.00223622281812
literal,0,1,3,0.00178949035631
literal,0,1,4,0.0022566858409
literal,0,1,5,0.00177301198464
literal,0,2,0,0.00319460402588
literal,0,2,1,0.00223622281812
literal,0,2,2,0.00319460402588
literal,0,2,3,0.0027655760052
literal,0,2,4,0.00322383691558
literal,0,2,5,0.0027401094308
literal,0,3,0,0.00276610854115
literal,0,3,1,0.00178983493839
literal,0,3,2,0.00276610854115
literal,0,3,3,0.0023163107126
literal,0,3,4,0.00278920936127
literal,0,3,5,0.00229729512182
literal,0,4,0,0.00322471048674
literal,0,4,1,0.00225729734072
literal,0,4,2,0.00322471048674
literal,0,4,3,0.00278965257956
literal,0,4,4,0.00325312682683
literal,0,4,5,0.00276521377206
literal,0,5,0,0.0027401708317
literal,0,5,1,0.00177305171463
literal,0,5,2,0.0027401708317
literal,0,5,3,0.00229664134681
literal,0,5,4,0.0027642524036
literal,0,5,5,0.00227660963348
literal,1,0,0,0.00223622281812
literal,1,0,1,0.00127784161035
literal,1,0,2,0.00223622281812
literal,1,0,3,0.00178949035631
literal,1,0,4,0.0022566858409
literal,1,0,5,0.00177301198464
literal,1,1,0,0.00127784161035
literal,1,1,1,0.000319460402588
literal,1,1,2,0.00127784161035
literal,1,1,3,0.000813404707412
literal,1,1,4,0.00128953476623
literal,1,1,5,0.000805914538471
literal,1,2,0,0.00223622281812
literal,1,2,1,0.00127784161035
literal,1,2,2,0.00223622281812
literal,1,2,3,0.00178949035631
literal,1,2,4,0.0022566858409
literal,1,2,5,0.00177301198464
literal,1,3,0,0.00178983493839
literal,1,3,1,0.000813561335631
literal,1,3,2,0.00178983493839
literal,1,3,3,0.00132360612149
literal,1,3,4,0.00180478252788
literal,1,3,5,0.00131274006961
literal,1,4,0,0.00225729734072
literal,1,4,1,0.0012898841947
literal,1,4,2,0.00225729734072
literal,1,4,3,0.00180506931618
literal,1,4,4,0.00227718877878
literal,1,4,5,0.00178925597016
literal,1,5,0,0.00177305171463
literal,1,5,1,0.000805932597558
literal,1,5,2,0.00177305171463
literal,1,5,3,0.00131236648389
literal,1,5,4,0.00178863390821
literal,1,5,5,0.00130091979056
literal,2,0,0,0.00319460402588
literal,2,0,1,0.00223622281812
literal,2,0,2,0.00319460402588
literal,2,0,3,0.0027655760052
literal,2,0,4,0.00322383691558
literal,2,0,5,0.0027401094308
literal,2,1,0,0.00223622281812
literal,2,1,1,0.00127784161035
literal,2,1,2,0.00223622281812
literal,2,1,3,0.00178949035631
literal,2,1,4,0.0022566858409
literal,2,1,5,0.00177301198464
literal,2,2,0,0.00319460402588
literal,2,2,1,0.00223622281812
literal,2,2,2,0.00319460402588
literal,2,2,3,0.0027655760052
literal,2,2,4,0.00322383691558
literal,2,2,5,0.0027401094308
literal,2,3,0,0.00276610854115
literal,2,3,1,0.00178983493839
literal,2,3,2,0.00276610854115
literal,2,3,3,0.0023163107126
literal,2,3,4,0.00278920936127
literal,2,3,5,0.00229729512182
literal,2,4,0,0.00322471048674
literal,2,4,1,0.00225729734072
literal,2,4,2,0.00322471048674
literal,2,4,3,0.00278965257956
literal,2,4,4,0.00325312682683
literal,2,4,5,0.00276521377206
literal,2,5,0,0.0027401708317
literal,2,5,1,0.00177305171463
literal,2,5,2,0.0027401708317
literal,2,5,3,0.00229664134681
literal,2,5,4,0.0027642524036
literal,2,5,5,0.00227660963348
literal,3,0,0,0.00276631785595
literal,3,0,1,0.00178997037738
literal,3,0,2,0.00276631785595
literal,3,0,3,0.00231628815608
literal,3,0,4,0.00278962716452
literal,3,0,5,0.00229703713946
literal,3,1,0,0.00178997037738
literal,3,1,1,0.00081362289881
literal,3,1,2,0.00178997037738
literal,3,1,3,0.00132359323204
literal,3,1,4,0.00180505287116
literal,3,1,5,0.00131259265112
literal,3,2,0,0.00276631785595
literal,3,2,1,0.00178997037738
literal,3,2,2,0.00276631785595
literal,3,2,3,0.00231628815608
literal,3,2,4,0.00278962716452
literal,3,2,5,0.00229703713946
literal,3,3,0,0.00231719932372
literal,3,3,1,0.00132411389927
literal,3,3,2,0.00231719932372
literal,3,3,3,0.00184793541617
literal,3,3,4,0.00233465554208
literal,3,3,5,0.00183447094046
literal,3,4,0,0.00279052633256
literal,3,4,1,0.00180563468577
literal,3,4,2,0.00279052633256
literal,3,4,3,0.00233463446038
literal,3,4,4,0.0028128385062
literal,3,4,5,0.00231640384184
literal,3,5,0,0.00229750839541
literal,3,5,1,0.00131286194024
literal,3,5,2,0.00229750839541
literal,3,5,3,0.0018339325773
literal,3,5,4,0.00231594584083
literal,3,5,5,0.00181959360423
