stype,l1,l2,l3,proportion
literal,0,0,0,0.0023912829753
literal,0,0,1,0.00171375279896
literal,0,0,2,0.0023912829753
literal,0,0,3,0.00218984655755
literal,0,0,4,0.00245897777278
literal,0,0,5,0.00211031512745
literal,0,1,0,0.00171375279896
literal,0,1,1,0.00103622262263
literal,0,1,2,0.00171375279896
literal,0,1,3,0.0014669845871
literal,0,1,4,0.00176226740382
literal,0,1,5,0.00141370625043
literal,0,2,0,0.0023912829753
literal,0,2,1,0.00171375279896
literal,0,2,2,0.0023912829753
literal,0,2,3,0.00218984655755
literal,0,2,4,0.00245897777278
literal,0,2,5,0.00211031512745
literal,0,3,0,0.0021898465645
literal,0,3,1,0.00146698459175
literal,0,3,2,0.0021898465645
literal,0,3,3,0.00200102162447
literal,0,3,4,0.00227536420193
literal,0,3,5,0.00189984651671
literal,0,4,0,0.00245897777618
literal,0,4,1,0.00176226740626
literal,0,4,2,0.00245897777618
literal,0,4,3,0.00227536419795
literal,0,4,4,0.00253929056744
literal,0,4,5,0.00217938963716
literal,0,5,0,0.00211031513037
literal,0,5,1,0.00141370625238
literal,0,5,2,0.00211031513037
literal,0,5,3,0.00189984651335
literal,0,5,4,0.00217938963714
literal,0,5,5,0.00181953774628
literal,1,0,0,0.00171375279896
literal,1,0,1,0.00103622262263
literal,1,0,2,0.00171375279896
literal,1,0,3,0.0014669845871
literal,1,0,4,0.00176226740382
literal,1,0,5,0.00141370625043
literal,1,1,0,0.00103622262263
literal,1,1,1,0.000358692446294
literal,1,1,2,0.00103622262263
literal,1,1,3,0.000744122616644
literal,1,1,4,0.00106555703487
literal,1,1,5,0.000717097373407
literal,1,2,0,0.00171375279896
literal,1,2,1,0.00103622262263
literal,1,2,2,0.00171375279896
literal,1,2,3,0.0014669845871
literal,1,2,4,0.00176226740382
literal,1,2,5,0.00141370625043
literal,1,3,0,0.00146698459175
literal,1,3,1,0.000744122619006
literal,1,3,2,0.00146698459175
literal,1,3,3,0.001209920052
literal,1,3,4,0.00152427310615
literal,1,3,5,0.00114874440545
literal,1,4,0,0.00176226740626
literal,1,4,1,0.00106555703634
literal,1,4,2,0.00176226740626
literal,1,4,3,0.00152427310348
literal,1,4,4,0.00181982490667
literal,1,4,5,0.00145997946567
literal,1,5,0,0.00141370625238
literal,1,5,1,0.000717097374397
literal,1,5,2,0.00141370625238
literal,1,5,3,0.00114874440342
literal,1,5,4,0.00145997946566
literal,1,5,5,0.00110018561403
literal,2,0,0,0.0023912829753
literal,2,0,1,0.00171375279896
literal,2,0,2,0.0023912829753
literal,2,0,3,0.00218984655755
literal,2,0,4,0.00245897777278
literal,2,0,5,0.00211031512745
literal,2,1,0,0.00171375279896
literal,2,1,1,0.00103622262263
literal,2,1,2,0.00171375279896
literal,2,1,3,0.0014669845871
literal,2,1,4,0.00176226740382
literal,2,1,5,0.00141370625043
literal,2,2,0,0.0023912829753
literal,2,2,1,0.00171375279896
literal,2,2,2,0.0023912829753
literal,2,2,3,0.00218984655755
literal,2,2,4,0.00245897777278
literal,2,2,5,0.00211031512745
literal,2,3,0,0.0021898465645
literal,2,3,1,0.00146698459175
literal,2,3,2,0.0021898465645
literal,2,3,3,0.00200102162447
literal,2,3,4,0.00227536420193
literal,2,3,5,0.00189984651671
literal,2,4,0,0.00245897777618
literal,2,4,1,0.00176226740626
literal,2,4,2,0.00245897777618
literal,2,4,3,0.00227536419795
literal,2,4,4,0.00253929056744
literal,2,4,5,0.00217938963716
literal,2,5,0,0.00211031513037
literal,2,5,1,0.00141370625238
literal,2,5,2,0.00211031513037
literal,2,5,3,0.00189984651335
literal,2,5,4,0.00217938963714
literal,2,5,5,0.00181953774628
literal,3,0,0,0.00218984656439
literal,3,0,1,0.00146698459168
literal,3,0,2,0.00218984656439
literal,3,0,3,0.0020010216243
literal,3,0,4,0.00227536420178
literal,3,0,5,0.00189984651658
literal,3,1,0,0.00146698459168
literal,3,1,1,0.000744122618966
literal,3,1,2,0.00146698459168
literal,3,1,3,0.0012099200519
literal,3,1,4,0.00152427310605
literal,3,1,5,0.00114874440538
literal,3,2,0,0.00218984656439
literal,3,2,1,0.00146698459168
literal,3,2,2,0.00218984656439
literal,3,2,3,0.0020010216243
literal,3,2,4,0.00227536420178
literal,3,2,5,0.00189984651658
literal,3,3,0,0.00200102163431
literal,3,3,1,0.00120992005796
literal,3,3,2,0.00200102163431
literal,3,3,3,0.00179789383789
literal,3,3,4,0.00209902000752
literal,3,3,5,0.00168436867762
literal,3,4,0,0.00227536420676
literal,3,4,1,0.00152427310938
literal,3,4,2,0.00227536420676
literal,3,4,3,0.00209902000171
literal,3,4,4,0.00237349015457
literal,3,4,5,0.00198190167811
literal,3,5,0,0.00189984652073
literal,3,5,1,0.00114874440788
literal,3,5,2,0.00189984652073
literal,3,5,3,0.00168436867293
literal,3,5,4,0.00198190167809
literal,3,5,5,0.00159025009643
literal,4,0,0,0.00245897777613
literal,4,0,1,0.00176226740622
literal,4,0,2,0.00245897777613
