stype,l1,l2,l3,proportion
literal,0,0,0,1.13250343612e-19
literal,0,0,1,4.26018307361e-24
literal,0,0,2,1.65095079425e-19
literal,0,0,3,2.64489310054e-13
literal,0,0,4,4.40727260349e-15
literal,0,0,5,4.80950387298e-18
literal,0,1,0,2.15201822671e-24
literal,0,1,1,2.78803432957e-31
literal,0,1,2,2.24188120156e-24
literal,0,1,3,2.83082841113e-20
literal,0,1,4,1.11021220211e-19
literal,0,1,5,6.2381012948e-23
literal,0,2,0,1.30015039553e-19
literal,0,2,1,1.91308303155e-24
literal,0,2,2,2.70235090501e-20
literal,0,2,3,4.46457023944e-14
literal,0,2,4,1.02193763237e-14
literal,0,2,5,9.86587978939e-19
literal,0,3,0,3.61774985497e-23
literal,0,3,1,4.78402364308e-29
literal,0,3,2,1.71767426401e-23
literal,0,3,3,3.00294548435e-18
literal,0,3,4,3.39517503531e-19
literal,0,3,5,3.40786459201e-21
literal,0,4,0,8.66636421285e-20
literal,0,4,1,1.23875552003e-24
literal,0,4,2,1.640809426e-20
literal,0,4,3,4.33883105261e-15
literal,0,4,4,3.19181733372e-15
literal,0,4,5,1.45906440631e-18
literal,0,5,0,1.86470956747e-22
literal,0,5,1,8.69854867393e-28
literal,0,5,2,2.38185454044e-23
literal,0,5,3,1.92678614139e-16
literal,0,5,4,2.19246618711e-17
literal,0,5,5,5.71489411491e-21
literal,1,0,0,6.34916298376e-24
literal,1,0,1,2.04359081392e-31
literal,1,0,2,2.68447562866e-24
literal,1,0,3,1.26700530003e-18
literal,1,0,4,1.26841252958e-19
literal,1,0,5,3.33987235426e-23
literal,1,1,0,1.42594832405e-31
literal,1,1,1,2.2159705502e-45
literal,1,1,2,2.89779723167e-30
literal,1,1,3,9.05579651234e-27
literal,1,1,4,8.66945935339e-26
literal,1,1,5,3.72122941835e-31
literal,1,2,0,1.61160575816e-24
literal,1,2,1,1.22433864674e-30
literal,1,2,2,1.06979019374e-24
literal,1,2,3,9.21793218497e-19
literal,1,2,4,2.54491376298e-19
literal,1,2,5,6.17646923819e-23
literal,1,3,0,5.97677442961e-29
literal,1,3,1,1.03576476702e-37
literal,1,3,2,5.41709533914e-29
literal,1,3,3,2.21873941281e-24
literal,1,3,4,3.69317307695e-24
literal,1,3,5,4.19340081638e-28
literal,1,4,0,1.60352004282e-24
literal,1,4,1,4.75500735771e-31
literal,1,4,2,1.75920423989e-25
literal,1,4,3,6.69260011125e-19
literal,1,4,4,1.05607819457e-19
literal,1,4,5,7.35732571484e-24
literal,1,5,0,2.02607767652e-28
literal,1,5,1,6.43143817297e-37
literal,1,5,2,3.02029353599e-28
literal,1,5,3,3.28405237679e-23
literal,1,5,4,9.0167388484e-23
literal,1,5,5,2.2920569928e-27
literal,2,0,0,9.82187653694e-21
literal,2,0,1,1.25273274658e-24
literal,2,0,2,2.14020491682e-19
literal,2,0,3,1.82914119237e-13
literal,2,0,4,8.83537531349e-17
literal,2,0,5,4.22186166365e-18
literal,2,1,0,1.23594042464e-24
literal,2,1,1,6.62909240223e-31
